Date,Daily Average,Social,Entertainment ,Productivity ,Creativity,Other,Weekday
1-Sep,3,2,0,1,0,0,Tuesday
2-Sep,5,1,0,3,0,1,Wednesday 
3-Sep,1,0,0,1,0,0,Thursday
4-Sep,5,3,1,1,0,0,Friday
5-Sep,7,4,1,2,0,0,Saturday
6-Sep,7,2,0,4,0,1,Sunday
7-Sep,5,1,1,2,0,1,Monday
8-Sep,3,2,0,0,0,1,Tuesday
9-Sep,6,3,0,3,0,0,Wednesday 
10-Sep,2,0,1,1,0,0,Thursday
11-Sep,8,3,4,0,1,0,Friday
12-Sep,4,4,0,0,0,0,Saturday
13-Sep,7,2,3,1,1,0,Sunday
14-Sep,4,1,1,2,0,0,Monday
15-Sep,2,1,0,1,0,0,Tuesday
16-Sep,1,0,0,1,0,0,Wednesday 
17-Sep,2,1,1,0,0,0,Thursday
18-Sep,6,4,2,0,0,0,Friday
19-Sep,5,3,1,0,0,1,Saturday
20-Sep,4,1,1,1,0,1,Sunday
21-Sep,2,0,0,1,1,0,Monday
22-Sep,5,2,1,2,0,0,Tuesday
23-Sep,7,4,0,2,0,1,Wednesday 
24-Sep,5,2,1,0,1,1,Thursday
25-Sep,3,1,1,1,0,0,Friday
26-Sep,0,0,0,0,0,0,Saturday
27-Sep,0,0,0,0,0,0,Sunday
28-Sep,10,5,5,0,0,0,Monday
29-Sep,0,0,0,0,0,0,Tuesday
30-Sep,0,0,0,0,0,0,Wednesday 
1-Oct,15,7,2,3,0,3,Thursday
2-Oct,14,7,2,4,0,1,Friday
3-Oct,12,8,3,0,0,1,Saturday
4-Oct,9,4,5,0,0,0,Sunday
5-Oct,12,6,3,2,0,1,Monday
6-Oct,9,5,1,0,1,2,Tuesday
7-Oct,10,5,2,2,0,1,Wednesday 
8-Oct,11,7,1,1,2,0,Thursday
9-Oct,8,5,1,0,1,1,Friday
10-Oct,9,6,2,0,0,1,Saturday
11-Oct,14,10,2,0,2,0,Sunday
12-Oct,16,8,2,4,1,1,Monday
13-Oct,13,7,0,3,1,2,Tuesday
14-Oct,12,7,1,0,0,4,Wednesday 
15-Oct,12,5,4,2,0,1,Thursday
16-Oct,15,8,3,1,0,3,Friday
17-Oct,14,7,3,0,1,3,Saturday
18-Oct,11,8,1,0,0,1,Sunday
19-Oct,8,1,1,2,3,1,Monday
20-Oct,14,7,3,2,1,1,Tuesday
21-Oct,12,5,2,3,1,1,Wednesday 
22-Oct,13,7,2,3,1,0,Thursday
23-Oct,12,6,3,2,0,1,Friday
24-Oct,13,7,1,3,1,1,Saturday
25-Oct,7,5,0,2,0,0,Sunday
26-Oct,15,5,3,5,0,2,Monday
27-Oct,16,8,3,2,2,1,Tuesday
28-Oct,13,5,4,2,1,1,Wednesday 
29-Oct,11,4,4,1,2,0,Thursday
30-Oct,11,7,1,0,1,3,Friday
31-Oct,8,4,2,0,2,0,Saturday
